id,time
33698,2010-01-08 11:33:15
33699,2010-01-08 11:38:36
33700,2010-01-08 11:39:10
33701,2010-01-08 11:39:47
33702,2010-01-08 11:42:46
33703,2010-01-08 11:43:51
33704,2010-01-08 11:46:44
33705,2010-01-08 11:46:40
33706,2010-01-08 11:47:08
33707,2010-01-08 11:53:31
33708,2010-01-08 11:58:22
33709,2010-01-08 12:05:20
33710,2010-01-08 12:05:54
33711,2010-01-08 12:31:40
33712,2010-01-08 12:59:10
33713,2010-01-08 13:02:57
33714,2010-01-08 13:04:49
33715,2010-01-08 13:06:46
33716,2010-01-08 13:07:03
33717,2010-01-08 13:40:59
33718,2010-01-08 13:49:03
33719,2010-01-08 13:54:21
33720,2010-01-08 14:00:27
33721,2010-01-08 14:03:33
33722,2010-01-08 14:05:37
33723,2010-01-08 14:20:06
33724,2010-01-08 14:20:45
33725,2010-01-08 14:21:59
33726,2010-01-08 14:31:36
33727,2010-01-08 14:31:30
33728,2010-01-08 15:09:41
33729,2010-01-08 15:39:35
33730,2010-01-08 15:51:46
33731,2010-01-08 15:58:28
33732,2010-01-08 16:08:56
33733,2010-01-08 16:20:38
33734,2010-01-08 16:30:49
33735,2010-01-08 16:36:27
33736,2010-01-08 16:37:02
33737,2010-01-08 16:50:56
33738,2010-01-08 16:51:17
33739,2010-01-08 16:55:55
33740,2010-01-08 17:06:45
33741,2010-01-08 17:17:38
33742,2010-01-08 17:31:49
33743,2010-01-08 17:57:50
33744,2010-01-08 17:59:18
33745,2010-01-08 18:30:21
33746,2010-01-08 18:49:21
33747,2010-01-08 18:49:36
33748,2010-01-08 18:53:58
33749,2010-01-08 18:54:27
33750,2010-01-08 19:27:15
33751,2010-01-08 19:29:29
33752,2010-01-08 19:35:17
33753,2010-01-08 19:40:21
33754,2010-01-08 19:43:50
33755,2010-01-08 20:05:46
33756,2010-01-08 20:06:25
33757,2010-01-08 20:07:03
33758,2010-01-08 20:15:11
33759,2010-01-08 20:17:25
33760,2010-01-08 20:23:11
33761,2010-01-08 20:52:36
33762,2010-01-08 21:14:15
33763,2010-01-08 21:32:31
33764,2010-01-08 21:34:09
33765,2010-01-08 21:34:41
33766,2010-01-08 21:45:14
33767,2010-01-08 21:55:38
33768,2010-01-08 22:07:21
33769,2010-01-08 22:21:49
33770,2010-01-08 22:26:42
33771,2010-01-08 22:35:01
33772,2010-01-08 22:38:41
33773,2010-01-08 22:53:23
33774,2010-01-08 23:11:48
33775,2010-01-08 23:20:03
33776,2010-01-08 23:34:06
33777,2010-01-08 23:36:13
33778,2010-01-08 23:42:16
33779,2010-01-08 23:44:50
33780,2010-01-08 23:51:42
33781,2010-01-08 23:54:15
33782,2010-01-08 23:57:04
33783,2010-01-09 00:05:31
33784,2010-01-09 00:06:42
33785,2010-01-09 00:08:30
33786,2010-01-09 00:23:49
33787,2010-01-09 00:24:15
33788,2010-01-09 00:28:57
33789,2010-01-09 00:37:32
33790,2010-01-09 00:49:42
33791,2010-01-09 00:52:19
33792,2010-01-09 01:09:45
33793,2010-01-09 01:11:37
33794,2010-01-09 01:18:50
33795,2010-01-09 01:28:43
33796,2010-01-09 01:47:13
33797,2010-01-09 02:19:26
33798,2010-01-09 02:20:12
33799,2010-01-09 02:21:53
33800,2010-01-09 02:22:03
33801,2010-01-09 02:31:18
33802,2010-01-09 02:51:44
33803,2010-01-09 03:01:52
33804,2010-01-09 03:27:01
33805,2010-01-09 03:36:42
33806,2010-01-09 03:40:03
33807,2010-01-09 03:42:51
33808,2010-01-09 03:47:00
33809,2010-01-09 03:50:24
33810,2010-01-09 03:56:36
33811,2010-01-09 03:58:32
33812,2010-01-09 04:17:45
33813,2010-01-09 04:18:37
33814,2010-01-09 04:20:11
33815,2010-01-09 04:20:24
33816,2010-01-09 04:21:56
33817,2010-01-09 04:37:36
33818,2010-01-09 04:43:40
33819,2010-01-09 04:50:40
33820,2010-01-09 05:06:13
33821,2010-01-09 05:11:09
33822,2010-01-09 05:12:04
33823,2010-01-09 05:19:33
33824,2010-01-09 05:29:43
33825,2010-01-09 05:40:20
33826,2010-01-09 05:51:54
33827,2010-01-09 06:03:31
33828,2010-01-09 06:16:12
33829,2010-01-09 06:32:44
